,filename,measure,current_chord,next_chord,current_position,next_position
1599,164,77.5,Am,Dm,x.0.2.2.1.0,x.x.0.2.3.1
1600,164,78.5,Dm,E,x.x.0.2.3.1,0.2.2.1.0.0
1601,166,14.0,Ab,Bb,x.6.6.5.4.x,x.8.8.7.6.x
1602,166,14.0,F,Ab,x.3.3.2.1.x,x.6.6.5.4.x
1603,166,22.5,G,F,x.5.5.4.3.x,x.3.3.2.1.x
1604,166,23.5,F,Dm,x.3.3.2.1.x,x.0.0.2.3.1
1605,166,24.5,Dm,Am,x.0.0.2.3.1,x.0.2.2.1.0
1606,166,26.0,C/G,C7,3.3.2.0.1.0,x.3.2.3.1.0
1607,166,26.5,C7,F,x.3.2.3.1.0,x.3.3.2.1.x
1608,166,31.0,Bb,Bbm,x.8.8.7.6.x,x.8.8.6.6.x
1609,166,32.0,F,D7,x.3.3.2.1.x,x.5.4.5.3.x
1610,166,31.5,Bbm,F,x.8.8.6.6.x,x.3.3.2.1.x
1611,166,33.0,Gm,C/G,x.5.5.3.3.x,3.3.2.0.1.0
1612,166,32.5,D7,Gm,x.5.4.5.3.x,x.5.5.3.3.x
1613,166,33.5,C/G,Bb,3.3.2.0.1.0,x.8.8.7.6.x
1614,166,25.5,Am,C/G,x.0.2.2.1.0,3.3.2.0.1.0
1615,166,30.5,C7,Bb,x.3.2.3.1.0,x.8.8.7.6.x
1616,166,21.5,A,G,x.7.7.6.5.x,x.5.5.4.3.x
1617,166,14.5,Bb,Gm,x.8.8.7.6.x,x.5.5.3.3.x
1618,166,40.5,C/G,Gm,3.3.2.0.1.0,x.5.5.3.3.x
1619,166,37.5,F,Bb,x.3.3.2.1.x,x.8.8.7.6.x
1620,166,36.5,C/G,F,3.3.2.0.1.0,x.3.3.2.1.x
1621,166,35.5,F,C/G,x.3.3.2.1.x,3.3.2.0.1.0
1622,166,34.5,Bb,F,x.8.8.7.6.x,x.3.3.2.1.x
1623,169,4.5,F,G,1.3.3.2.1.x,3.2.0.0.0.3
1624,169,5.5,G,C,3.2.0.0.0.3,x.3.2.0.1.x
1625,169,48.5,C,Am,x.3.2.0.1.x,x.0.2.2.1.x
1626,170,234.5,E/B,A,x.x.9.9.9.x,x.x.7.6.5.5
1627,170,217.5,Bsus4,E/B,x.x.9.9.7.x,x.x.9.9.9.x
1628,170,217.0,E/B,Bsus4,x.x.9.9.9.x,x.x.9.9.7.x
1629,171,1.5,F/C,C,x.3.3.2.x.x,x.3.2.0.x.x
1630,171,10.0,F,Fmaj7/E,1.3.3.2.1.x,0.0.3.2.x.x
1631,171,9.5,F/C,F,x.3.3.2.x.x,1.3.3.2.1.x
1632,171,15.0,C,E,x.3.2.0.1.x,0.2.2.1.0.x
1633,171,10.5,Fmaj7/E,Dm,0.0.3.2.x.x,x.x.0.2.3.1
1634,171,14.0,F,G,1.3.3.2.1.x,3.2.0.0.0.x
1635,171,0.0,C,Cmaj7,x.3.2.0.x.x,x.3.2.0.0.x
1636,171,15.0,E,E7,0.2.2.1.0.x,0.2.0.1.0.x
1637,171,14.5,G,C,3.2.0.0.0.x,x.3.2.0.1.x
1638,171,15.5,E7,F,0.2.0.1.0.x,1.3.3.2.1.x
1639,171,20.5,G,C,3.2.0.0.0.x,x.3.2.0.1.0
1640,171,21.5,C,C,x.3.2.0.1.0,x.3.2.0.x.x
1641,171,11.0,Dm,Dm/C,x.x.0.2.3.1,x.3.x.2.3.1
1642,171,0.5,Cmaj7,F/C,x.3.2.0.0.x,x.3.3.2.x.x
1643,171,11.5,Dm/C,G,x.3.x.2.3.1,3.2.0.0.0.x
1644,172,86.5,C5,G5,x.3.5.5.x.x,3.5.5.x.x.x
1645,172,41.5,Ab5,G5,4.6.6.x.x.x,3.5.5.x.x.x
1646,172,40.5,C5,Ab5,x.3.5.5.x.x,4.6.6.x.x.x
1647,172,26.5,F5,G5,1.3.3.x.x.x,3.5.5.x.x.x
1648,172,39.5,G5,C5,3.5.5.x.x.x,x.3.5.5.x.x
1649,174,6.5,Dm,Cm7,x.x.7.7.6.5,x.x.5.5.4.3
1650,174,3.5,Gm,F6,x.x.x.3.3.3,x.x.x.2.3.1
1651,174,4.5,F6,Ebmaj7,x.x.x.2.3.1,x.x.5.4.3.3
1652,174,5.5,Ebmaj7,Dm,x.x.5.4.3.3,x.x.7.7.6.5
1653,174,68.5,Fsus4,G7sus4,x.3.x.3.1.1,x.5.x.5.6.3
1654,174,7.5,Cm7,Fsus4,x.x.5.5.4.3,x.3.x.3.1.1
1655,174,27.5,Cm7,Fsus4,x.x.5.5.4.3,x.3.3.3.1.1
1656,174,28.5,Fsus4,G7sus4,x.3.3.3.1.1,x.5.x.5.6.3
1657,174,29.5,G7sus4,Gsus4,x.5.x.5.6.3,x.5.x.5.3.3
1658,174,30.5,Gsus4,Cm7,x.5.x.5.3.3,x.x.5.3.4.3
1659,174,31.5,Cm7,Fsus4,x.x.5.3.4.3,x.3.x.3.1.1
1660,174,8.0,Fsus4,Gsus4,x.3.x.3.1.1,3.5.x.5.3.3
1661,177,8.5,B5,B5,x.2.4.4.0.x,x.2.4.4.0.x
1662,177,31.5,Em,B5,x.2.2.0.0.x,x.2.4.4.0.x
1663,178,5.0,D/F#,C/E,2.x.0.2.3.2,0.3.2.0.1.0
1664,178,1.5,G,Amadd9,3.2.0.0.0.3,x.0.2.4.1.0
1665,178,2.5,F,Em,1.3.3.2.1.1,0.2.2.0.0.0
1666,178,2.0,Amadd9,F,x.0.2.4.1.0,1.3.3.2.1.1
1667,178,49.0,G,D,3.2.0.0.0.3,x.x.0.2.3.2
1668,178,1.0,Em/F#,G,2.2.2.0.0.0,3.2.0.0.0.3
1669,178,1.0,Em,Em/F#,0.2.2.0.0.0,2.2.2.0.0.0
1670,178,0.0,Am,D9/F#,x.0.2.2.1.0,2.x.0.2.1.0
1671,178,47.5,D,Bm,x.x.0.2.3.2,x.2.4.4.3.2
1672,178,4.0,Amadd9,D,x.0.2.4.1.0,x.x.0.2.3.2
1673,178,50.5,D,E,x.x.0.2.3.2,0.2.2.1.0.0
1674,178,51.5,E,Bm,0.2.2.1.0.0,x.2.4.4.3.2
1675,178,59.0,Esus4,E,0.2.2.2.0.0,0.2.2.1.0.0
1676,178,58.5,D,Esus4,x.x.0.2.3.2,0.2.2.2.0.0
1677,178,70.5,D,E9,x.x.0.2.3.2,0.2.0.1.0.2
1678,178,0.5,D9/F#,Em,2.x.0.2.1.0,0.2.2.0.0.0
